曲名,idol_type,種類,category,M+,WI,GR,SM,実装日,解禁条件,title_sorter
流れ星キセキ,All,アニメ,アニメ楽曲,○,○,,,2015/12/04,,ながれぼしきせき
M@GIC☆,All,アニメ,アニメ楽曲,○,○,○,,2015/11/25,,まじっく
STORY,All,アニメ,アニメ楽曲,○,,,○,2016/09/30,,すとーりー
あいくるしい,All,アニメBD,アニメ楽曲,○,,,○,2016/10/31,,あいくるしい
Flip Flop,Pa,アニメBD,アニメ楽曲,○,,,○,2016/11/19,,ふりっぷふろっぷ
Lunatic Show,Co,アニメBD,アニメ楽曲,○,,,○,2017/01/20,,るなてぃっくしょー
shabon song,Cu,アニメBD,アニメ楽曲,○,,,○,2017/04/01,,しゃぼんそんぐ
Nocturne,Co,アニメBD,アニメ楽曲,○,,,○,2017/04/19,,のくたーん
キラッ！満開スマイル,Cu,しんげき,アニメ楽曲,○,,,○,2018/03/20,,きらっ まんかいすまいる
エチュードは1曲だけ,Co,しんげき,アニメ楽曲,○,,,○,2018/06/19,,えちゅーどはいっきょくだけ
SUN♡FLOWER,Pa,しんげき,アニメ楽曲,○,,,○,2018/07/19,,さんふらわー
Blooming Days,Cu,しんげき,アニメ楽曲,○,,,,2022/05/19,,ぶるーみんぐでいず
秋めいて Ding Dong Dang!,Co,しんげき,アニメ楽曲,○,,,,2022/10/30,,あきめいて でぃんぐどんだんぐ
Snow＊Love,Pa,しんげき,アニメ楽曲,○,,,,2020/12/20,,すのーらぶ
いとしーさー♥,Cu,しんげき,アニメ楽曲,○,,,,2021/06/19,,いとしーさー
なつっこ音頭,Pa,しんげき,アニメ楽曲,○,,,,2023/05/30,,なつっこおんど
さよならアロハ,Cu,しんげき,アニメ楽曲,○,,,,2023/07/30,,さよならあろは
きゅん・きゅん・まっくす,Cu,しんげき,アニメ楽曲,○,,,,2019/04/19,,きゅんきゅんまっくす
Max Beat,Co,しんげき,アニメ楽曲,○,,,,2019/05/21,,まっくすびーと
TAKAMARI☆CLIMAXXX!!!!!,Pa,しんげき,アニメ楽曲,○,,,,2019/06/21,,たかまりくらいまっくす
Sing the Prologue♪,Cu,しんげき,アニメ楽曲,○,,,,2020/06/19,,しんざぷろろーぐ
ダイアモンド・アテンション,Pa,しんげき,アニメ楽曲,○,,,,2020/10/31,,だいあもんどあてんしょん
君のステージ衣装、本当は…,Co,しんげき,アニメ楽曲,○,,,,2021/01/21,,きみのすてーじいしょう ほんとうは
Life is HaRMONY,All,しんげき,アニメ楽曲,○,,,,2021/03/30,,らいふいずはーもにー
Shine In The Sky☆,All,U149,アニメ楽曲,○,,○,,2023/04/13,,しゃいんいんざすかい
よりみちリトルスター,Cu,U149,アニメ楽曲,○,,,,2023/04/27,,よりみちりとるすたー
Nightwear,All,U149,アニメ楽曲,○,,,,2023/05/11,,ないとうぇあ
グッデイ・グッナイ,Co,U149,アニメ楽曲,○,,,,2023/06/15,,ぐっでいぐっない
ゼロトゥワン!!,Pa,U149,アニメ楽曲,○,,,,2023/06/22,,ぜろとぅわん
Flip Flop ～For SS3A rearrange Mix～,Co,remix,リミックス・リアレンジ楽曲,○,,,,2018/09/03,,ふりっぷふろっぷ9
shabon song ～For SS3A rearrange Mix～,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2018/09/11,,しゃぼんそんぐ9
Lunatic Show ～For SS3A rearrange Mix～,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2018/09/28,,るなてぃっくしょー9
Nocturne ～For SS3A rearrange Mix～,Co,remix,リミックス・リアレンジ楽曲,○,,,,2018/10/09,,のくたーん9
あいくるしい ～For SS3A rearrange Mix～,Cu,remix,リミックス・リアレンジ楽曲,○,,,,2018/10/28,,あいくるしい9
お願い！シンデレラ ～ゴージャス・トロピカル Ver.～,All,remix,リミックス・リアレンジ楽曲,,,,,2020/11/28,,おねがい！しんでれら8
輝く世界の魔法 -Magical Step Forward Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2018/09/11,,かがやくせかいのまほう9
ゴキゲンParty Night -Dance!!!!!!!!!!!!!!! Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2018/10/09,,ごきげんぱーてぃないと9
Near to You -PicoPico D’n’B Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2018/10/17,,にあとゆー9
メッセージ -Future PicoPico Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2024/04/12,,めっせーじ9
あんずのうた -ノるあんず2000（DJ過重労働）Remix-,Cu,remix,リミックス・リアレンジ楽曲,○,,,,2024/05/01,,あんずのうた9
O-Ku-Ri-Mo-No Sunday! -ヒゲドライバー Remix-,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2024/06/16,,おくりものさんでー9
Secret Daybreak -石濱翔 Remix-,Co,remix,リミックス・リアレンジ楽曲,○,,,,2024/07/16,,しーくれっとでいぶれいく9
Stage Bye Stage -emon（Tes.） Remix-,All,remix,リミックス・リアレンジ楽曲,○,,○,,2024/08/30,,すてーじばいすてーじ9
OTAHEN アンセム -Massive New Krew Remix-,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2024/09/12,,おたへんあんせむ9
こいかぜ -Night Wind Remix-,Co,remix,リミックス・リアレンジ楽曲,○,,,,2024/10/18,,こいかぜ9
TOKIMEKIエスカレート -Tropical Summer Nude Remix-,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2024/11/12,,ときめきえすかれーと9
秘密のトワレ -Midnight Lab Remix-,Cu,remix,リミックス・リアレンジ楽曲,○,,,,2024/12/19,,ひみつのとわれ9
Tulip -TAKU INOUE Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2025/01/30,,ちゅーりっぷ9
Last Kiss -ESTi Remix-,Co,remix,リミックス・リアレンジ楽曲,○,,,,2025/02/25,,らすときっす9
Love∞Destiny -Jealous prisoner Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2025/03/14,,らぶでぃーでぃすてぃにー9
つぼみ -DJ’TEKINA／／SOMETHING a.k.a ゆよゆっぺ Remix-,All,remix,リミックス・リアレンジ楽曲,○,,,,2025/04/17,,つぼみ9
レッド・ソール -烏屋茶房 Remix-,Co,remix,リミックス・リアレンジ楽曲,○,,,,2025/05/17,,れっどそーる9
14平米にスーベニア -広川恵一 Remix-,Pa,remix,リミックス・リアレンジ楽曲,○,,,,2025/06/16,,じゅうよんへいべいにすーべにあ9
Pretty Liar -ミフメイ Remix-,Co,remix,リミックス・リアレンジ楽曲,○,,,,2025/07/17,,ぷりてぃらいあー9
お願い！シンデレラ -山本真央樹 Remix-,All,remix,リミックス・リアレンジ楽曲,○,○,,,2025/08/22,,おねがいしんでれら9
CINDERELLA NONSTOP MEDLEY -DJ KOO Mix-,All,コラボ/mix,リミックス・リアレンジ楽曲,,,,,2020/08/21,,しんでれらのんすとっぷめどれー でぃーじぇいくーみっくす
TAKU INOUE SELECTION!!!! feat.DJ KOO,All,コラボ/mix,リミックス・リアレンジ楽曲,,,,,2020/08/28,,たくいのうせれくしょん ふぃーちゃーでぃーじぇいくー
Treasure☆,All,コラボ,コラボ楽曲、カバー楽曲,○,,,○,2016/11/28,,とれじゃー
